coso,site,channel,origen
"/7811748/as_mob/fotogalerias/deportes_accion","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/en","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/epik","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/epik/equipo","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/futbol","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/lachicadeas","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/motor","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/ocio","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/tenis","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/tikitakas","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/baloncesto","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/ciclismo","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/deportes_accion","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/epik","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/futbol","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/futbol/portada","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/motor","as","mob","amazonPrisa"
"/7811748/as_mob/fotorrelato/tenis","as","mob","amazonPrisa"
"/7811748/as_mob/futbol","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/balon_oro","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/copa_africa","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/copa_america","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/copa_america/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/copa_del_rey","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/copa_del_rey/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/eurocopa","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/eurocopa/especial","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/eurocopa/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/europa_liga","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/europa_liga/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/femenino","as_futbol","mob","amazonPrisa"
