coso	site	origen
elnortedecastilla.es	elnortedecastilla	criteoDomain
elnortedecastilla.es.	elnortedecastilla	criteoDomain
especial.elnortedecastilla.es	elnortedecastilla	criteoDomain
hemeroteca.elnortedecastilla.es	elnortedecastilla	criteoDomain
leer.elnortedecastilla.es	elnortedecastilla	criteoDomain
local-www.elnortedecastilla.es	elnortedecastilla	criteoDomain
loteria.elnortedecastilla.es	elnortedecastilla	criteoDomain
new-soydearroyo.elnortedecastilla.es	elnortedecastilla	criteoDomain
blogs.elnortedecastilla.es	elnortedecastilla	criteoDomain
blogs-new.elnortedecastilla.es	elnortedecastilla	criteoDomain
agenda.elnortedecastilla.es	elnortedecastilla	criteoDomain
app.elnortedecastilla.es	elnortedecastilla	criteoDomain
areapersonal.elnortedecastilla.es	elnortedecastilla	criteoDomain
new-www.elnortedecastilla.es	elnortedecastilla	criteoDomain
pre-blogs.elnortedecastilla.es	elnortedecastilla	criteoDomain
preview-www.elnortedecastilla.es	elnortedecastilla	criteoDomain
pre-www.elnortedecastilla.es	elnortedecastilla	criteoDomain
proyectos.elnortedecastilla.es	elnortedecastilla	criteoDomain
realvalladolid.elnortedecastilla.es	elnortedecastilla	criteoDomain
secure.elnortedecastilla.es	elnortedecastilla	criteoDomain
soydearroyo.elnortedecastilla.es	elnortedecastilla	criteoDomain
static-cache.elnortedecastilla.es	elnortedecastilla	criteoDomain
tpv.elnortedecastilla.es	elnortedecastilla	criteoDomain
vmv.elnortedecastilla.es	elnortedecastilla	criteoDomain
motor.elpais.com	elpais_motor	criteoDomain
pre.motor.elpais.com	elpais_motor	criteoDomain
pre.smoda.elpais.com	elpais_smoda	criteoDomain
arc-sandbox.elpais.com	elpais	criteoDomain
brasil.elpais.com	elpais	criteoDomain
ccaa.elpais.com	elpais	criteoDomain
cultura.elpais.com	elpais_cultura	criteoDomain
deportes.elpais.com	elpais_deportes	criteoDomain
elpais.com	elpais	criteoDomain
elpaissemanal.elpais.com	elpais_eps	criteoDomain
english.elpais.com	elpais	criteoDomain
eskup.elpais.com	elpais	criteoDomain
horoscopo.elpais.com	elpais	criteoDomain
images.inenglish.elpais.com	elpais	criteoDomain
internacional.elpais.com	elpais	criteoDomain
politica.elpais.com	elpais	criteoDomain
resultados.elpais.com	elpais	criteoDomain
servicios.elpais.com	elpais	criteoDomain
static.elpais.com	elpais	criteoDomain
t.newsletter.elpais.com	elpais	criteoDomain
widgets.elpais.com	elpais	criteoDomain
cat.elpais.com	elpais_cat	criteoDomain
euribor.com.es	elpais_finanzas_cincodias_euribor	criteoDomain
elcomidista.elpais.com	elpais_comidista	criteoDomain
elviajero.elpais.com	elpais_elviajero	criteoDomain
cincodias.elpais.com	elpais_finanzas_cincodias	criteoDomain
retina.elpais.com	elpais_finanzas_retina	criteoDomain
verne.elpais.com	elpais_verne	criteoDomain
fregenal.hoy.es	hoy	criteoDomain
fuentedecantos.hoy.es	hoy	criteoDomain
guarena.hoy.es	hoy	criteoDomain
hemeroteca.hoy.es	hoy	criteoDomain
herreradelduque.hoy.es	hoy	criteoDomain
horoscopo.mujerhoy.com	hoy	criteoDomain
hoy.es	hoy	criteoDomain
hoy.es.	hoy	criteoDomain
jaraizdelavera.hoy.es	hoy	criteoDomain
jerezdeloscaballeros.hoy.es	hoy	criteoDomain
lazarza.hoy.es	hoy	criteoDomain
leer.hoy.es	hoy	criteoDomain
llerena.hoy.es	hoy	criteoDomain
local-blogs.mujerhoy.com	hoy	criteoDomain
local-calamonte.hoy.es	hoy	criteoDomain
local-fregenal.hoy.es	hoy	criteoDomain
local-hemeroteca.hoy.es	hoy	criteoDomain
local-navalmoral.hoy.es	hoy	criteoDomain
local-solidario.hoy.es	hoy	criteoDomain
local-www.hoy.es	hoy	criteoDomain
local-www.mujerhoy.com	hoy	criteoDomain
local-zafra.hoy.es	hoy	criteoDomain
lossantosdemaimona.hoy.es	hoy	criteoDomain
loteria.hoy.es	hoy	criteoDomain
malpartidadecaceres.hoy.es	hoy	criteoDomain
miajadas.hoy.es	hoy	criteoDomain
monesterio.hoy.es	hoy	criteoDomain
mujerhoy.com	hoy	criteoDomain
navalmoral.hoy.es	hoy	criteoDomain
new-almendralejo.hoy.es	hoy	criteoDomain
new-arroyodelaluz.hoy.es	hoy	criteoDomain
new-campanario.hoy.es	hoy	criteoDomain
new-donbenito.hoy.es	hoy	criteoDomain
new-fregenal.hoy.es	hoy	criteoDomain
new-jaraizdelavera.hoy.es	hoy	criteoDomain
new-lossantosdemaimona.hoy.es	hoy	criteoDomain
new-navalmoral.hoy.es	hoy	criteoDomain
new-quintana.hoy.es	hoy	criteoDomain
new-solidario.hoy.es	hoy	criteoDomain
new-trujillo.hoy.es	hoy	criteoDomain
new-villafranca.hoy.es	hoy	criteoDomain
new-villanueva.hoy.es	hoy	criteoDomain
blogs.hoy.es	hoy	criteoDomain
blogs-new.hoy.es	hoy	criteoDomain
calamonte.hoy.es	hoy	criteoDomain
campanario.hoy.es	hoy	criteoDomain
casardecaceres.hoy.es	hoy	criteoDomain
castuera.hoy.es	hoy	criteoDomain
coria.hoy.es	hoy	criteoDomain
desnlocal.hoy.es	hoy	criteoDomain
des-vocuser.hoy.es	hoy	criteoDomain
agenda.hoy.es	hoy	criteoDomain
app.hoy.es	hoy	criteoDomain
arroyodelaluz.hoy.es	hoy	criteoDomain
new-www.hoy.es	hoy	criteoDomain
olivenza.hoy.es	hoy	criteoDomain
pre-almendralejo.hoy.es	hoy	criteoDomain
pre-blogs.hoy.es	hoy	criteoDomain
pre-calamonte.hoy.es	hoy	criteoDomain
pre-donbenito.hoy.es	hoy	criteoDomain
pre-hemeroteca.hoy.es	hoy	criteoDomain
preview-www.hoy.es	hoy	criteoDomain
pre-villanueva.hoy.es	hoy	criteoDomain
pre-www.hoy.es	hoy	criteoDomain
puebladelacalzada.hoy.es	hoy	criteoDomain
quienesquien.hoy.es	hoy	criteoDomain
quintana.hoy.es	hoy	criteoDomain
servicios.hoy.es	hoy	criteoDomain
solidario.hoy.es	hoy	criteoDomain
talarrubias.hoy.es	hoy	criteoDomain
talayuela.hoy.es	hoy	criteoDomain
trujillo.hoy.es	hoy	criteoDomain
valverdedeleganes.hoy.es	hoy	criteoDomain
villafranca.hoy.es	hoy	criteoDomain
villanuevadelfresno.hoy.es	hoy	criteoDomain
zafra.hoy.es	hoy	criteoDomain
zalamea.hoy.es	hoy	criteoDomain
huffingtonpost.es	huffingtonpost	criteoDomain
local.www.huffingtonpost.es	huffingtonpost	criteoDomain
dev.www.huffingtonpost.es	huffingtonpost	criteoDomain
beta.www.huffingtonpost.es	huffingtonpost	criteoDomain
qa.www.huffingtonpost.es	huffingtonpost	criteoDomain
qa5.www.huffingtonpost.es	huffingtonpost	criteoDomain
staging.www.huffingtonpost.es	huffingtonpost	criteoDomain
eltelevisero.com	huffingtonpost_eltelevisero	criteoDomain
strambotic.com	huffingtonpost_strambotic	criteoDomain
elejido.ideal.es	ideal	criteoDomain
formacion.ideal.es	ideal	criteoDomain
gasolineras.ideal.es	ideal	criteoDomain
gourmet.ideal.es	ideal	criteoDomain
granadacf.ideal.es	ideal	criteoDomain
guadix.ideal.es	ideal	criteoDomain
hemeroteca.ideal.es	ideal	criteoDomain
huetorvega.ideal.es	ideal	criteoDomain
ideal.es	ideal	criteoDomain
ideal.es.	ideal	criteoDomain
kioskoymas.ideal.es	ideal	criteoDomain
lasgabias.ideal.es	ideal	criteoDomain
lazubia.ideal.es	ideal	criteoDomain
levante.ideal.es	ideal	criteoDomain
linaresdeportivo.ideal.es	ideal	criteoDomain
local-www.ideal.es	ideal	criteoDomain
loja.ideal.es	ideal	criteoDomain
maracena.ideal.es	ideal	criteoDomain
micarrera.ideal.es	ideal	criteoDomain
new-adra.ideal.es	ideal	criteoDomain
new-elejido.ideal.es	ideal	criteoDomain
new-gourmet.ideal.es	ideal	criteoDomain
new-huetorvega.ideal.es	ideal	criteoDomain
new-lasgabias.ideal.es	ideal	criteoDomain
new-levante.ideal.es	ideal	criteoDomain
new-roquetas.ideal.es	ideal	criteoDomain
new-ubeda.ideal.es	ideal	criteoDomain
blogs.ideal.es	ideal	criteoDomain
calendarios.ideal.es	ideal	criteoDomain
cartelera.ideal.es	ideal	criteoDomain
cazorla.ideal.es	ideal	criteoDomain
churrianadelavega.ideal.es	ideal	criteoDomain
adra.ideal.es	ideal	criteoDomain
alcalalareal.ideal.es	ideal	criteoDomain
almanzora.ideal.es	ideal	criteoDomain
alzalapata.ideal.es	ideal	criteoDomain
andujar.ideal.es	ideal	criteoDomain
app.ideal.es	ideal	criteoDomain
areapersonal.ideal.es	ideal	criteoDomain
armilla.ideal.es	ideal	criteoDomain
baza.ideal.es	ideal	criteoDomain
new-www.ideal.es	ideal	criteoDomain
ogijares.ideal.es	ideal	criteoDomain
pre-blogs.ideal.es	ideal	criteoDomain
pre-gourmet.ideal.es	ideal	criteoDomain
pre-www.ideal.es	ideal	criteoDomain
realjaen.ideal.es	ideal	criteoDomain
restaurantes.gourmet.ideal.es	ideal	criteoDomain
roquetas.ideal.es	ideal	criteoDomain
secure.ideal.es	ideal	criteoDomain
sierramagina.ideal.es	ideal	criteoDomain
tools.ideal.es	ideal	criteoDomain
ubeda.ideal.es	ideal	criteoDomain
udalmeria.ideal.es	ideal	criteoDomain
waste.ideal.es	ideal	criteoDomain
escucha.kebuena.com.mx	kebuena	criteoDomain
kebuena.com.mx	kebuena	criteoDomain
nateevo.kebuena.com.mx	kebuena	criteoDomain
pre.kebuena.com.mx	kebuena	criteoDomain
entretenimiento.larioja.com	larioja	criteoDomain
hemeroteca.larioja.com	larioja	criteoDomain
innovando.larioja.com	larioja	criteoDomain
larioja.com	larioja	criteoDomain
larioja.com.	larioja	criteoDomain
local-www.larioja.com	larioja	criteoDomain
local-www.lomejordelvinoderioja.com	larioja	criteoDomain
lomejordelvinoderioja.com	larioja	criteoDomain
loteria.larioja.com	larioja	criteoDomain
blogs.larioja.com	larioja	criteoDomain
blogs-new.larioja.com	larioja	criteoDomain
degustalarioja.com	larioja	criteoDomain
digitales.larioja.com	larioja	criteoDomain
agenda.larioja.com	larioja	criteoDomain
agenda-origin.larioja.com	larioja	criteoDomain
app.larioja.com	larioja	criteoDomain
new-www.degustalarioja.com	larioja	criteoDomain
new-www.larioja.com	larioja	criteoDomain
new-www.lomejordelvinoderioja.com	larioja	criteoDomain
openbttlarioja.es	larioja	criteoDomain
pre-blogs.larioja.com	larioja	criteoDomain
pre-hemeroteca.larioja.com	larioja	criteoDomain
preview-www.larioja.com	larioja	criteoDomain
pre-www.larioja.com	larioja	criteoDomain
pre-www.lomejordelvinoderioja.com	larioja	criteoDomain
lasprovincias.es	lasprovincias	criteoDomain
lasprovincias.es.	lasprovincias	criteoDomain
leer.lasprovincias.es	lasprovincias	criteoDomain
levanteud.lasprovincias.es	lasprovincias	criteoDomain
local-www.lasprovincias.es	lasprovincias	criteoDomain
loteria.lasprovincias.es	lasprovincias	criteoDomain
new-traductor.lasprovincias.es	lasprovincias	criteoDomain
blogs.lasprovincias.es	lasprovincias	criteoDomain
blogs-new.lasprovincias.es	lasprovincias	criteoDomain
comerybeber.lasprovincias.es	lasprovincias	criteoDomain
cosaspracticas.lasprovincias.es	lasprovincias	criteoDomain
