coso	site	origen
blogs.laverdad.es	laverdad	criteoDomain
blogs-new.laverdad.es	laverdad	criteoDomain
cartelera.laverdad.es	laverdad	criteoDomain
des-www.laverdad.es	laverdad	criteoDomain
agenda.laverdad.es	laverdad	criteoDomain
app.laverdad.es	laverdad	criteoDomain
areapersonal.laverdad.es	laverdad	criteoDomain
new-www.laverdad.es	laverdad	criteoDomain
pre1-www.laverdad.es	laverdad	criteoDomain
pre2-www.laverdad.es	laverdad	criteoDomain
pre3-www.laverdad.es	laverdad	criteoDomain
pre-blogs.laverdad.es	laverdad	criteoDomain
pre-hemeroteca.laverdad.es	laverdad	criteoDomain
pre-preview-www.laverdad.es	laverdad	criteoDomain
preview-www.laverdad.es	laverdad	criteoDomain
pre-www.laverdad.es	laverdad	criteoDomain
pro0-www.laverdad.es	laverdad	criteoDomain
realmurcia.laverdad.es	laverdad	criteoDomain
resultados-loteria.laverdad.es	laverdad	criteoDomain
sanjavier.laverdad.es	laverdad	criteoDomain
soydecaravaca.laverdad.es	laverdad	criteoDomain
torrepacheco.laverdad.es	laverdad	criteoDomain
ucamcf.laverdad.es	laverdad	criteoDomain
gateway-test.lavozdeasturias.es	lavozdeasturias	criteoDomain
lavozdeasturias.es	lavozdeasturias	criteoDomain
galego.lavozdegalicia.es	lavozdegalicia	criteoDomain
gateway-test.lavozdegalicia.es	lavozdegalicia	criteoDomain
lavozdegalicia.es	lavozdegalicia	criteoDomain
media.lavozdegalicia.es	lavozdegalicia	criteoDomain
2021.lavozdegalicia.es	lavozdegalicia	criteoDomain
walter.lavozdegalicia.es	lavozdegalicia	criteoDomain
walter-test.lavozdegalicia.es	lavozdegalicia	criteoDomain
lavozdigital.es	lavozdigital	criteoDomain
new2-www.lavozdigital.es	lavozdigital	criteoDomain
cadizsolidaria-origin.www.lavozdigital.es	lavozdigital	criteoDomain
carnaval.lavozdigital.es	lavozdigital	criteoDomain
carnavaldenorteasur.blogspot.com	lavozdigital	criteoDomain
docker-www.lavozdigital.es	lavozdigital	criteoDomain
new-www.lavozdigital.es	lavozdigital	criteoDomain
pre2-www.lavozdigital.es	lavozdigital	criteoDomain
pre3-www.lavozdigital.es	lavozdigital	criteoDomain
pre-carnaval.lavozdigital.es	lavozdigital	criteoDomain
pre-www.lavozdigital.es	lavozdigital	criteoDomain
especial.leonoticias.com	leonoticias	criteoDomain
leonoticias.com	leonoticias	criteoDomain
local-www.leonoticias.com	leonoticias	criteoDomain
loteria.leonoticias.com	leonoticias	criteoDomain
app.leonoticias.com	leonoticias	criteoDomain
blogs.leonoticias.com	leonoticias	criteoDomain
new-www.leonoticias.com	leonoticias	criteoDomain
pre-www.leonoticias.com	leonoticias	criteoDomain
librotea.elpais.com	librotea	criteoDomain
pre.librotea.elpais.com	librotea	criteoDomain
envivo.los40.cl	los40	criteoDomain
escucha.los40.com.mx	los40	criteoDomain
escucha.los40.com.pa	los40	criteoDomain
escuche.los40.com.co	los40	criteoDomain
local.envivo.los40.cl	los40	criteoDomain
local.escucha.los40.com.mx	los40	criteoDomain
local.escuche.los40.com.co	los40	criteoDomain
local.play.los40.com	los40	criteoDomain
local.player.los40.com.ar	los40	criteoDomain
los40.cl	los40	criteoDomain
los40.com	los40	criteoDomain
los40.com.ar	los40	criteoDomain
los40.com.co	los40	criteoDomain
los40.com.mx	los40	criteoDomain
los40.com.pa	los40	criteoDomain
dev.escuche.los40.com.co	los40	criteoDomain
dev.play.los40.com	los40	criteoDomain
play.los40.com	los40	criteoDomain
player.los40.com.ar	los40	criteoDomain
pre.escucha.los40.com.mx	los40	criteoDomain
pre.escuche.los40.com.co	los40	criteoDomain
pre.los40.cl	los40	criteoDomain
pre.play.los40.com	los40	criteoDomain
pre.player.los40.com.ar	los40	criteoDomain
radiotubers.los40.com	los40	criteoDomain
play.maxima.fm	maxima	criteoDomain
meristation.as.com	meristation	criteoDomain
meristation.int.as.com	meristation	criteoDomain
blogs.mujerhoy.com	mujerhoy	criteoDomain
des-www.mujerhoy.com	mujerhoy	criteoDomain
areapersonal.mujerhoy.com	mujerhoy	criteoDomain
areapersonal-predes.mujerhoy.com	mujerhoy	criteoDomain
new-www.mujerhoy.com	mujerhoy	criteoDomain
pre.mujerhoy.com	mujerhoy	criteoDomain
pre2-www.mujerhoy.com	mujerhoy	criteoDomain
pre3-www.mujerhoy.com	mujerhoy	criteoDomain
pre-blogs.mujerhoy.com	mujerhoy	criteoDomain
pre-horoscopo.mujerhoy.com	mujerhoy	criteoDomain
pren.mujerhoy.com	mujerhoy	criteoDomain
pre-www.mujerhoy.com	mujerhoy	criteoDomain
pro0-www.mujerhoy.com	mujerhoy	criteoDomain
recetas.mujerhoy.com	mujerhoy	criteoDomain
www-mujerhoy-com.cdn.ampproject.org	mujerhoy	criteoDomain
www-new.mujerhoy.com	mujerhoy	criteoDomain
imghandler.mundodeportivo.biz	mundodeportivo	criteoDomain
imghandler.mundodeportivo.com	mundodeportivo	criteoDomain
mundodeportivo.biz	mundodeportivo	criteoDomain
mundodeportivo.com	mundodeportivo	criteoDomain
mundodeportivo.com.	mundodeportivo	criteoDomain
devel.mundodeportivo.com	mundodeportivo	criteoDomain
admin.mundodeportivo.biz	mundodeportivo	criteoDomain
admin.mundodeportivo.com	mundodeportivo	criteoDomain
ni.mundodeportivo.biz	mundodeportivo	criteoDomain
ni.mundodeportivo.com	mundodeportivo	criteoDomain
tiendahemeroteca.mundodeportivo.com	mundodeportivo	criteoDomain
dev.play.radiole.com	radiole	criteoDomain
play.radiole.com	radiole	criteoDomain
pre.play.radiole.com	radiole	criteoDomain
pre.radiole.com	radiole	criteoDomain
radiole.com	radiole	criteoDomain
dozz.es	sin identificar	criteoDomain
editor.wix.com	sin identificar	criteoDomain
enlacejudio.com	sin identificar	criteoDomain
es.wix.com	sin identificar	criteoDomain
espana.patobot.com	sin identificar	criteoDomain
euroferroviarios.net	sin identificar	criteoDomain
feedback.wix.com	sin identificar	criteoDomain
feeder.co	sin identificar	criteoDomain
fomny.com	sin identificar	criteoDomain
gerente.com	sin identificar	criteoDomain
grgastronomia.com	sin identificar	criteoDomain
gruporetiro.com	sin identificar	criteoDomain
gstatic.com	sin identificar	criteoDomain
happystyledance.com	sin identificar	criteoDomain
htcmania.com	sin identificar	criteoDomain
ilustracion-upb.blogspot.com	sin identificar	criteoDomain
las2orillas.co	sin identificar	criteoDomain
linkis.com	sin identificar	criteoDomain
linkvalidator.net	sin identificar	criteoDomain
manage.wix.com	sin identificar	criteoDomain
marilynmonroemylittlesecret.blogspot.com	sin identificar	criteoDomain
meneame.net	sin identificar	criteoDomain
msn.com	sin identificar	criteoDomain
mv-bim.com	sin identificar	criteoDomain
netvibes.com	sin identificar	criteoDomain
newslocker.com	sin identificar	criteoDomain
newspapersperiodicos.com	sin identificar	criteoDomain
briangdiaz.weebly.com	sin identificar	criteoDomain
carlosloret.com	sin identificar	criteoDomain
desdelapiquera.com	sin identificar	criteoDomain
destinofinal.blog	sin identificar	criteoDomain
diariodenavarra.es	sin identificar	criteoDomain
accitanosdelaestacion.euroferroviarios.net	sin identificar	criteoDomain
adviewer.adcint.net	sin identificar	criteoDomain
ampaceipvaldemera.blogspot.com	sin identificar	criteoDomain
anpe.es	sin identificar	criteoDomain
audiopill.net	sin identificar	criteoDomain
bolosasturias.com	sin identificar	criteoDomain
notalatina.blogspot.com	sin identificar	criteoDomain
notion.so	sin identificar	criteoDomain
oigahermanohermana.org	sin identificar	criteoDomain
patobot.com	sin identificar	criteoDomain
periodicosespa̱oles.es	sin identificar	criteoDomain
printwhatyoulike.com	sin identificar	criteoDomain
pruebaswebup.tk	sin identificar	criteoDomain
radios-emisoras.info	sin identificar	criteoDomain
razonmasfe.com	sin identificar	criteoDomain
Remnant	sin identificar	criteoDomain
responsinator.com	sin identificar	criteoDomain
responsivetesttool.com	sin identificar	criteoDomain
rite.ly	sin identificar	criteoDomain
robinjhair.weebly.com	sin identificar	criteoDomain
rockcolombiadocs.blogspot.com	sin identificar	criteoDomain
rubenolarte.com	sin identificar	criteoDomain
sandrabeltranfansoficial.blogspot.com	sin identificar	criteoDomain
seguimiento.co	sin identificar	criteoDomain
snip.ly	sin identificar	criteoDomain
soros-sehablaespanyol-soros.blogspot.com	sin identificar	criteoDomain
supercontable.com	sin identificar	criteoDomain
syamareyes.com.br	sin identificar	criteoDomain
tabisa.net	sin identificar	criteoDomain
todareceta.es	sin identificar	criteoDomain
translatetheweb.com	sin identificar	criteoDomain
translatoruser-int.com	sin identificar	criteoDomain
tryit.w3schools.com	sin identificar	criteoDomain
ultimahora.es	sin identificar	criteoDomain
valdetorres.es	sin identificar	criteoDomain
w3schools.com	sin identificar	criteoDomain
wix.com	sin identificar	criteoDomain
world-check.com	sin identificar	criteoDomain
www-pulzo-com.cdn.ampproject.org	sin identificar	criteoDomain
xn--periodicosespaoles-00b.es	sin identificar	criteoDomain
zonacero.com	sin identificar	criteoDomain
int.smoda.elpais.com	elpais_smoda	criteoDomain
smoda.elpais.com	elpais_smoda	criteoDomain
local.play.wradio.com.co	wradio	criteoDomain
local.play.wradio.com.mx	wradio	criteoDomain
dev.play.wradio.com.co	wradio	criteoDomain
play.wradio.com.co	wradio	criteoDomain
play.wradio.com.mx	wradio	criteoDomain
pre.play.wradio.com.co	wradio	criteoDomain
pre.play.wradio.com.mx	wradio	criteoDomain
wradio.com.co	wradio	criteoDomain
wradio.com.mx	wradio	criteoDomain
www2.wradio.com.co	wradio	criteoDomain
foros.xlsemanal.com	xlsemanal	criteoDomain
pre-www.xlsemanal.com	xlsemanal	criteoDomain
pre-xlsemanal.abc.es	xlsemanal	criteoDomain
www-origin.xlsemanal.com	xlsemanal	criteoDomain
xlsemanal.abc.es	xlsemanal	criteoDomain
xlsemanal.com	xlsemanal	criteoDomain
xlsemanal.diariosur.es	xlsemanal	criteoDomain
xlsemanal.diariovasco.com	xlsemanal	criteoDomain
xlsemanal.elcomercio.es	xlsemanal	criteoDomain
xlsemanal.elcorreo.com	xlsemanal	criteoDomain
xlsemanal.eldiariomontanes.es	xlsemanal	criteoDomain
xlsemanal.elnortedecastilla.es	xlsemanal	criteoDomain
xlsemanal.hoy.es	xlsemanal	criteoDomain
xlsemanal.ideal.es	xlsemanal	criteoDomain
xlsemanal.larioja.com	xlsemanal	criteoDomain
xlsemanal.lasprovincias.es	xlsemanal	criteoDomain
xlsemanal.laverdad.es	xlsemanal	criteoDomain
local.xlsemanal.com	xlsemanal	criteoDomain
pre-foros.xlsemanal.com	xlsemanal	criteoDomain
xlsemanal.leonoticias.com	xlsemanal	criteoDomain
