coso,publisher,site,canal,formato,origen
"quienesquien-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"quintana-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"real--sociedad-diariovasco-com.cdn.ampproject.org","vocento","diariovasco","amp","oustream","invibes"
"roquetas-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"sdeibar-diariovasco-com.cdn.ampproject.org","vocento","diariovasco","amp","oustream","invibes"
"sevilla.abc.es","vocento","abcsevilla","amp","oustream","invibes"
"sevilla-abc-es.cdn.ampproject.org","vocento","abcsevilla","amp","oustream","invibes"
"solidario-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"soydearroyo-elnortedecastilla-es.cdn.ampproject.org","vocento","elnortedecastilla","amp","oustream","invibes"
"soydecaravaca-laverdad-es.cdn.ampproject.org","vocento","laverdad","amp","oustream","invibes"
"talarrubias-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"talayuela-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"tamborrada-diariovasco-com.cdn.ampproject.org","vocento","diariovasco","amp","oustream","invibes"
"trujillo-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"tuotrodiario.com","hola","tuotrodiario","amp","oustream","invibes"
"ubeda-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"valverdedeleganes-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"villafranca-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"villanuevadelfresno-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"vueltapaisvasco-diariovasco-com.cdn.ampproject.org","vocento","diariovasco","amp","oustream","invibes"
"www-abc-es.cdn.ampproject.org","vocento","abc","amp","oustream","invibes"
"www-burgosconecta-es.cdn.ampproject.org","vocento","burgosconecta","amp","oustream","invibes"
"www-canarias7-es.cdn.ampproject.org","canarias7","canarias7","amp","oustream","invibes"
"www-degustalarioja-com.cdn.ampproject.org","vocento","larioja","amp","oustream","invibes"
"www-diariosur-es.cdn.ampproject.org","vocento","diariosur","amp","oustream","invibes"
"www-diariovasco-com.cdn.ampproject.org","vocento","diariovasco","amp","oustream","invibes"
"www-elbierzonoticias-com.cdn.ampproject.org","vocento","elbierzonoticias","amp","oustream","invibes"
"www-elcomercio-es.cdn.ampproject.org","vocento","elcomercio","amp","oustream","invibes"
"www-elcorreo-com.cdn.ampproject.org","vocento","elcorreo","amp","oustream","invibes"
"www-eldiariomontanes-es.cdn.ampproject.org","vocento","eldiariomontanes","amp","oustream","invibes"
"www-elnortedecastilla-es.cdn.ampproject.org","vocento","elnortedecastilla","amp","oustream","invibes"
"www-hola-com.cdn.ampproject.org","hola","hola","amp","oustream","invibes"
"www-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"www-ideal-es.cdn.ampproject.org","vocento","ideal","amp","oustream","invibes"
"www-larioja-com.cdn.ampproject.org","vocento","larioja","amp","oustream","invibes"
"www-lasprovincias-es.cdn.ampproject.org","vocento","lasprovincias","amp","oustream","invibes"
"www-lavanguardia-com.cdn.ampproject.org","godo","lavanguardia","amp","oustream","invibes"
"www-laverdad-es.cdn.ampproject.org","vocento","laverdad","amp","oustream","invibes"
"www-lavozdigital-es.cdn.ampproject.org","vocento","lavozdigital","amp","oustream","invibes"
"www-leonoticias-com.cdn.ampproject.org","vocento","leonoticias","amp","oustream","invibes"
"www-lomejordelvinoderioja-com.cdn.ampproject.org","vocento","larioja","amp","oustream","invibes"
"www-mujerhoy-com.cdn.ampproject.org","vocento","mujerhoy","amp","oustream","invibes"
"www-mundodeportivo-com.cdn.ampproject.org","godo","mundodeportivo","amp","oustream","invibes"
"www--origin-hola-com.cdn.ampproject.org","hola","hola","amp","oustream","invibes"
"www-tuotrodiario-com.cdn.ampproject.org","hola","tuotrodiario","amp","oustream","invibes"
"www-xlsemanal-com.cdn.ampproject.org","vocento","xlsemanal","amp","oustream","invibes"
"xlsemanal.com","vocento","xlsemanal","amp","oustream","invibes"
"zafra-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"zalamea-hoy-es.cdn.ampproject.org","vocento","hoy","amp","oustream","invibes"
"as.com","prisa","as","any","oustream","invibes"
"cadenaser.com","prisa","cadenaser","any","oustream","invibes"
"elpais.com","prisa","elpais","any","oustream","invibes"
"los40.com","prisa","los40","any","oustream","invibes"
"huffingtonpost.es","prisa","huffingtonpost","any","oustream","invibes"
