coso	site	channel	format	origen
/7811748/biwenger_app/iphone/market-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/marketStats-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/marketStats-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/match-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/match-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/match-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/messages-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/news-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/news-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/offers-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/offers-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/other-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/other-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/player-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/player-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/player-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/players-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/players-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/players-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/pools-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/pools-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/record-book-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/record-book-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/r-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/r-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/r-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/r-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/round-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/round-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/round-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/round-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/seasonStats-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/seasonStats-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/seasonStats-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/seasonStats-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/settings-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/squad-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/squad-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/squad-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/squad-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/stats-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/stats-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/team-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/team-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/team-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/tournament-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/tournament-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/user-mldb2	biwenger	app	display	criteoSubid
