coso	site	channel	origen
/7811748/as_mob/futbol/migrantes_del_balon	as_futbol		amazonPrisa
/7811748/as_mob/futbol/migrantes_del_balon/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/mundial	as_futbol		amazonPrisa
/7811748/as_mob/futbol/mundial/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/primera	as_futbol		amazonPrisa
/7811748/as_mob/futbol/primera/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/reportajes	as_futbol		amazonPrisa
/7811748/as_mob/futbol/segunda	as_futbol		amazonPrisa
/7811748/as_mob/futbol/segunda/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/seleccion	as_futbol		amazonPrisa
/7811748/as_mob/futbol/seleccion/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/torneo_internacional_alevin_futbol_7	as_futbol		amazonPrisa
/7811748/as_mob/futbol/videos	as_futbol		amazonPrisa
/7811748/as_mob/golf/masters_augusta	as		amazonPrisa
/7811748/as_mob/golf/ryder_cup	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/chile	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/chile/portada	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/colombia	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/colombia/portada	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/espana	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/espana/portada	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/noticias	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/us	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/us/portada	as		amazonPrisa
/7811748/as_mob/juegos_olimpicos/videos	as		amazonPrisa
/7811748/as_mob/lomasvisto	as		amazonPrisa
/7811748/as_mob/masdeporte	as		amazonPrisa
/7811748/as_mob/masdeporte/atletismo	as		amazonPrisa
/7811748/as_mob/masdeporte/atletismo/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/balonmano	as		amazonPrisa
/7811748/as_mob/masdeporte/balonmano/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/directo	as		amazonPrisa
/7811748/as_mob/masdeporte/golf	as		amazonPrisa
/7811748/as_mob/masdeporte/golf/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/infografia	as		amazonPrisa
/7811748/as_mob/masdeporte/juegosolimpicos	as		amazonPrisa
/7811748/as_mob/masdeporte/juegosolimpicos/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/mlb	as		amazonPrisa
/7811748/as_mob/masdeporte/mlb/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/nfl	as		amazonPrisa
