coso	site	origen
/4900/webm.ABC/AMP/summum	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/estilo	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/estilo/belleza	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/estilo/moda	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/estilo/relojes	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/gourmet	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/living	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/living/casas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/living/negocios	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/living/ocio	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/living/salud-fitness	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/living/tecnologia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/protagonistas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/summum/rodar	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/tecnologia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/tecnologia/videojuegos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/vela	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/viajar/destinos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/viajar/guia-repsol	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/viajar/nieve	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/viajar/ofertas-viajes-nautalia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/voz	abc	amazonVocentoSlotname
vocento.abc-megabanner	abc	amazonVocentoSlotname
webm.ABC-megabanner_tres	abc	amazonVocentoSlotname
webm.ABC-robapaginas_diez	abc	amazonVocentoSlotname
webm.ABC-robapaginas_nueve	abc	amazonVocentoSlotname
webm.ABC-robapaginas_ocho	abc	amazonVocentoSlotname
vocento.abcsevilla-robapaginas	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/economia	abcsevilla	amazonVocentoSlotname
vocento.abcsevilla-skyscraper_izq	abcsevilla	amazonVocentoSlotname
webm.ABCSEVILLA-robapaginas_dos	abcsevilla	amazonVocentoSlotname
webm.ABCSEVILLA-robapaginas_cuatro	abcsevilla	amazonVocentoSlotname
webm.ABCSEVILLA-robapaginas_cinco	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/deportes	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/cultura/libros	abcsevilla	amazonVocentoSlotname
webm.ABCSEVILLA-megabanner	abcsevilla	amazonVocentoSlotname
