coso	publisher	site	channel	format	origen
miajadas-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
mirandes-elcorreo-com.cdn.ampproject.org	vocento	elcorreo	amp		invibes
monesterio-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
mujerhoy.com	vocento	mujerhoy	amp		invibes
mundodeportivo.com	godo	mundodeportivo	amp		invibes
navalmoral-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
olivenza-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
puebladelacalzada-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
quienesquien-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
quintana-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
real--sociedad-diariovasco-com.cdn.ampproject.org	vocento	diariovasco	amp		invibes
roquetas-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
sdeibar-diariovasco-com.cdn.ampproject.org	vocento	diariovasco	amp		invibes
sevilla.abc.es	vocento	abcsevilla	amp		invibes
sevilla-abc-es.cdn.ampproject.org	vocento	abcsevilla	amp		invibes
solidario-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
soydearroyo-elnortedecastilla-es.cdn.ampproject.org	vocento	elnortedecastilla	amp		invibes
soydecaravaca-laverdad-es.cdn.ampproject.org	vocento	laverdad	amp		invibes
talarrubias-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
talayuela-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
tamborrada-diariovasco-com.cdn.ampproject.org	vocento	diariovasco	amp		invibes
trujillo-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
tuotrodiario.com	hola	tuotrodiario	amp		invibes
ubeda-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
valverdedeleganes-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
villafranca-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
villanuevadelfresno-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
vueltapaisvasco-diariovasco-com.cdn.ampproject.org	vocento	diariovasco	amp		invibes
www-abc-es.cdn.ampproject.org	vocento	abc	amp		invibes
www-burgosconecta-es.cdn.ampproject.org	vocento	burgosconecta	amp		invibes
www-canarias7-es.cdn.ampproject.org	canarias7	canarias7	amp		invibes
www-degustalarioja-com.cdn.ampproject.org	vocento	larioja	amp		invibes
www-diariosur-es.cdn.ampproject.org	vocento	diariosur	amp		invibes
www-diariovasco-com.cdn.ampproject.org	vocento	diariovasco	amp		invibes
www-elbierzonoticias-com.cdn.ampproject.org	vocento	elbierzonoticias	amp		invibes
www-elcomercio-es.cdn.ampproject.org	vocento	elcomercio	amp		invibes
www-elcorreo-com.cdn.ampproject.org	vocento	elcorreo	amp		invibes
www-eldiariomontanes-es.cdn.ampproject.org	vocento	eldiariomontanes	amp		invibes
www-elnortedecastilla-es.cdn.ampproject.org	vocento	elnortedecastilla	amp		invibes
www-hola-com.cdn.ampproject.org	hola	hola	amp		invibes
www-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
www-ideal-es.cdn.ampproject.org	vocento	ideal	amp		invibes
www-larioja-com.cdn.ampproject.org	vocento	larioja	amp		invibes
www-lasprovincias-es.cdn.ampproject.org	vocento	lasprovincias	amp		invibes
www-lavanguardia-com.cdn.ampproject.org	godo	lavanguardia	amp		invibes
www-laverdad-es.cdn.ampproject.org	vocento	laverdad	amp		invibes
www-lavozdigital-es.cdn.ampproject.org	vocento	lavozdigital	amp		invibes
www-leonoticias-com.cdn.ampproject.org	vocento	leonoticias	amp		invibes
www-lomejordelvinoderioja-com.cdn.ampproject.org	vocento	larioja	amp		invibes
www-mujerhoy-com.cdn.ampproject.org	vocento	mujerhoy	amp		invibes
www-mundodeportivo-com.cdn.ampproject.org	godo	mundodeportivo	amp		invibes
www--origin-hola-com.cdn.ampproject.org	hola	hola	amp		invibes
www-tuotrodiario-com.cdn.ampproject.org	hola	tuotrodiario	amp		invibes
www-xlsemanal-com.cdn.ampproject.org	vocento	xlsemanal	amp		invibes
